//精霊基本データ
//Class,Name,JName,Lv,HP,SP,Range,Atk1,Atk2,Def,Mdef,Str,Agi,Vit,Int,Dex,Luk,Size,Race,Element,Speed,ADelay,aMotion,dMotion,{elem_script}
2114,EL_AGNI_S,アグニ,100,5000,250,1,250,500,10,10,25,25,25,25,25,25,0,0,83,200,504,1020,360,{}
2115,EL_AGNI_M,アグニ,100,7500,500,1,500,1000,25,25,50,50,50,50,50,50,1,0,83,200,504,1020,360,{}
2116,EL_AGNI_L,アグニ,100,10000,1000,1,1000,2000,50,50,100,100,100,100,100,100,2,0,83,200,504,1020,360,{}
2117,EL_AQUA_S,アクア,100,5000,250,1,250,500,10,10,25,25,25,25,25,25,0,0,81,200,504,1020,360,{}
2118,EL_AQUA_M,アクア,100,7500,500,1,500,1000,25,25,50,50,50,50,50,50,1,0,81,200,504,1020,360,{}
2119,EL_AQUA_L,アクア,100,10000,1000,1,1000,2000,50,50,100,100,100,100,100,100,2,0,81,200,504,1020,360,{}
2120,EL_VENTUS_S,ベントス,100,5000,250,4,250,500,10,10,25,25,25,25,25,25,0,0,84,200,504,1020,360,{}
2121,EL_VENTUS_M,ベントス,100,7500,500,4,500,1000,25,25,50,50,50,50,50,50,1,0,84,200,504,1020,360,{}
2122,EL_VENTUS_L,ベントス,100,10000,1000,4,1000,2000,50,50,100,100,100,100,100,100,2,0,84,200,504,1020,360,{}
2123,EL_TERA_S,テラ,100,5000,250,1,250,500,10,10,25,25,25,25,25,25,0,0,82,200,504,1020,360,{}
2124,EL_TERA_M,テラ,100,7500,500,1,500,1000,25,25,50,50,50,50,50,50,1,0,82,200,504,1020,360,{}
2125,EL_TERA_L,テラ,100,10000,1000,1,1000,2000,50,50,100,100,100,100,100,100,2,0,82,200,504,1020,360,{}
