// ホムンクルス経験値テーブル
//初期8種,進化8種,予約1,予約2,予約3,予約4
50,50,0,0,0,0
110,110,0,0,0,0
180,180,0,0,0,0
260,260,0,0,0,0
350,350,0,0,0,0
630,630,0,0,0,0
950,950,0,0,0,0
1310,1310,0,0,0,0
1710,1710,0,0,0,0
2150,2150,0,0,0,0
3180,3180,0,0,0,0
4300,4300,0,0,0,0
5510,5510,0,0,0,0
6810,6810,0,0,0,0
8200,8200,0,0,0,0
10800,10800,0,0,0,0
13560,13560,0,0,0,0
16480,16480,0,0,0,0
19560,19560,0,0,0,0
22800,22800,0,0,0,0
28090,28090,0,0,0,0
33630,33630,0,0,0,0
39420,39420,0,0,0,0
45460,45460,0,0,0,0
51750,51750,0,0,0,0
61150,61150,0,0,0,0
70910,70910,0,0,0,0
81030,81030,0,0,0,0
91510,91510,0,0,0,0
102350,102350,0,0,0,0
117580,117580,0,0,0,0
133300,133300,0,0,0,0
149510,149510,0,0,0,0
166210,166210,0,0,0,0
183400,183400,0,0,0,0
206480,206480,0,0,0,0
230200,230200,0,0,0,0
254560,254560,0,0,0,0
279560,279560,0,0,0,0
305200,305200,0,0,0,0
338450,338450,0,0,0,0
372510,372510,0,0,0,0
407380,407380,0,0,0,0
443060,443060,0,0,0,0
479550,479550,0,0,0,0
525590,525590,0,0,0,0
572590,572590,0,0,0,0
620670,620670,0,0,0,0
669710,669710,0,0,0,0
719750,719750,0,0,0,0
781500,781500,0,0,0,0
844460,844460,0,0,0,0
908630,908630,0,0,0,0
974010,974010,0,0,0,0
1040600,1040600,0,0,0,0
1121280,1121280,0,0,0,0
1203400,1203400,0,0,0,0
1286960,1286960,0,0,0,0
1371960,1371960,0,0,0,0
1458400,1458400,0,0,0,0
1561530,1561530,0,0,0,0
1666350,1666350,0,0,0,0
1772860,1772860,0,0,0,0
1881060,1881060,0,0,0,0
1990950,1990950,0,0,0,0
2120350,2120350,0,0,0,0
2251710,2251710,0,0,0,0
2385030,2385030,0,0,0,0
2520310,2520310,0,0,0,0
2657550,2657550,0,0,0,0
2817340,2817340,0,0,0,0
2979380,2979380,0,0,0,0
3143670,3143670,0,0,0,0
3310210,3310210,0,0,0,0
3479000,3479000,0,0,0,0
3643600,3643600,0,0,0,0
3870760,3870760,0,0,0,0
4070480,4070480,0,0,0,0
4272760,4272760,0,0,0,0
4477600,4477600,0,0,0,0
4711730,4711730,0,0,0,0
4948750,4948750,0,0,0,0
5188660,5188660,0,0,0,0
5431460,5431460,0,0,0,0
5677150,5677150,0,0,0,0
5955830,5955830,0,0,0,0
6522910,6522910,0,0,0,0
6522910,6522910,0,0,0,0
6811310,6811310,0,0,0,0
7102950,7102950,0,0,0,0
7431500,7431500,0,0,0,0
7763660,7763660,0,0,0,0
8099430,8099430,0,0,0,0
8438810,8438810,0,0,0,0
8781800,8781800,0,0,0,0
9165840,9165840,0,0,0,0
9553880,9553880,0,0,0,0
9945920,9945920,0,0,0,0
0,0,0,0,0,0
