//ホムンクルス基本データ	LastUP 2006/04/08
//Class,ViewClass,Name,JName,Lv,AcceID,FoodID,HP,SP,Str,Agi,Vit,Int,Dex,Luk,[Rate->]Base,HP_max,HP_min,SP_max,SP_min,Str,Agi,Vit,Int,Dex,Luk,aspd,Size,Race,Element,EvoClass,ExpTable,{homun_script}

6001,6001,LIF,リーフ,1,0,537,150,40,12,20,15,35,24,14,2,110,40,12,2,56,69,70,60,73,39,700,1,0,80,6009,0,{}
6002,6002,AMISTR,アミストル,1,0,912,320,10,20,17,35,11,24,13,2,150,70,4,1,84,65,60,8,58,38,700,1,0,80,6010,0,{}
6003,6003,FILIR,フィーリル,1,0,910,90,25,29,35,9,8,30,9,2,75,45,6,3,67,83,11,59,62,38,700,1,0,80,6011,0,{}
6004,6004,VANILMIRTH,バニルミルト,1,0,911,80,11,11,11,11,11,11,11,3,150,30,8,0,81,71,67,69,69,30,700,1,0,80,6012,0,{}

6005,6005,LIF2,リーフ,1,0,537,150,40,12,20,15,35,24,14,2,110,40,12,2,56,69,70,60,73,39,700,1,0,80,6013,0,{}
6006,6006,AMISTR2,アミストル,1,0,912,320,10,20,17,35,11,24,13,2,150,70,4,1,84,65,60,8,58,38,700,1,0,80,6014,0,{}
6007,6007,FILIR2,フィーリル,1,0,910,90,25,29,35,9,8,30,9,2,75,45,6,3,67,83,11,59,62,38,700,1,0,80,6015,0,{}
6008,6008,VANILMIRTH2,バニルミルト,1,0,911,80,11,11,11,11,11,11,11,3,150,30,8,0,81,71,67,69,69,30,700,1,0,80,6016,0,{}

6009,6009,LIF_H,リーフ,1,0,537,150,40,12,20,15,35,24,14,2,110,40,12,2,56,69,70,60,73,39,700,1,0,80,0,1,{}
6010,6010,AMISTR_H,アミストル,1,0,912,320,10,20,17,35,11,24,13,2,150,70,4,1,84,65,60,8,58,38,700,1,0,80,0,1,{}
6011,6011,FILIR_H,フィーリル,1,0,910,90,25,29,35,9,8,30,9,2,75,45,6,3,67,83,11,59,62,38,700,1,0,80,0,1,{}
6012,6012,VANILMIRTH_H,バニルミルト,1,0,911,80,11,11,11,11,11,11,11,3,150,30,8,0,81,71,67,69,69,30,700,1,0,80,0,1,{}

6013,6013,LIF_H2,リーフ,1,0,537,150,40,12,20,15,35,24,14,2,110,40,12,2,56,69,70,60,73,39,700,1,0,80,0,1,{}
6014,6014,AMISTR_H2,アミストル,1,0,912,320,10,20,17,35,11,24,13,2,150,70,4,1,84,65,60,8,58,38,700,1,0,80,0,1,{}
6015,6015,FILIR_H2,フィーリル,1,0,910,90,25,29,35,9,8,30,9,2,75,45,6,3,67,83,11,59,62,38,700,1,0,80,0,1,{}
6016,6016,VANILMIRTH_H2,バニルミルト,1,0,911,80,11,11,11,11,11,11,11,3,150,30,8,0,81,71,67,69,69,30,700,1,0,80,0,1,{}

//6048,6048,MER_EIRA,Eira
//6049,6049,MER_BAYERI,Bayeri
//6050,6050,MER_SERA,Sera
//6051,6051,MER_DIETER,Dieter
//6052,6052,MER_ELEANOR,Eleanor
