//ID,Name,Jname,Composition_Type
4001,Poring_Card,ポリンカード,0
4002,Fabre_Card,ファブルカード,1
4003,Pupa_Card,プパカード,0
4004,Drops_Card,ドロップスカード,1
4005,Santa_Poring_Card,サンタポリンカード,1
4006,Lunatic_Card,ルナティックカード,1
4007,Pecopeco_Egg_Card,ペコペコの卵カード,1
4008,Picky_Card,ピッキカード,0
4009,Chonchon_Card,チョンチョンカード,0
4010,Willow_Card,ウィローカード,0
4011,Picky_Egg_Card,すごいピッキカード,0
4012,Thiefbug_Egg_Card,盗蟲の卵カード,0
4013,Andre_Egg_Card,アンドレの卵カード,0
4014,Roda_Frog_Card,ロッダフロッグカード,0
4015,Condor_Card,コンドルカード,0
4016,Thief_Bug_Card,盗蟲カード,0
4017,Savage_Bebe_Card,サベージベベカード,1
4018,Andre_Larva_Card,アンドレの幼虫カード,1
4019,Hornet_Card,ホーネットカード,1
4020,Familiar_Card,ファミリアーカード,1
4021,Rocker_Card,ロッカーカード,0
4022,Spore_Card,スポアカード,0
4023,Baby_Desertwolf_Card,子デザートウルフカード,0
4024,Plankton_Card,プランクトンカード,1
4025,Skeleton_Card,スケルトンカード,1
4026,Female_Thiefbug_Card,雌盗蟲カード,1
4027,Kukre_Card,ククレカード,0
4028,Tarou_Card,タロウカード,0
4029,Wolf_Card,ウルフカード,1
4030,Mandragora_Card,マンドラゴラカード,1
4031,Pecopeco_Card,ペコペコカード,0
4032,Ambernite_Card,アンバーナイトカード,0
4033,Poporing_Card,ポポリンカード,0
4034,Wormtail_Card,ワームテールカード,0
4035,Hydra_Card,ヒドラカード,1
4036,Muka_Card,ムカーカード,0
4037,Boa_Card,スネイクカード,1
4038,Zombie_Card,ゾンビカード,0
4039,Stainer_Card,スタイナーカード,0
4040,Creamy_Card,クリーミーカード,0
4041,Coco_Card,コーコーカード,0
4042,Steel_Chonchon_Card,スチールチョンチョンカード,0
4043,Andre_Card,アンドレカード,1
4044,Smokie_Card,スモーキーカード,0
4045,Horn_Card,ホルンカード,0
4046,Martin_Card,マーティンカード,0
4047,Ghostring_Card,ゴーストリングカード,0
4048,Poison_Spore_Card,ポイズンスポアカード,0
4049,Vadon_Card,バドンカード,1
4050,Male_Thiefbug_Card,雄盗蟲カード,0
4051,Yoyo_Card,ヨーヨーカード,0
4052,Elder_Willow_Card,エルダーウィローカード,0
4053,Vitata_Card,ビタタカード,0
4054,Angeling_Card,エンジェリングカード,0
4055,Marina_Card,マリナカード,1
4056,Dustiness_Card,ダスティネスカード,0
4057,Metaller_Card,メタルラカード,1
4058,Thara_Frog_Card,タラフロッグカード,0
4059,Soldier_Andre_Card,兵隊アンドレカード,0
4060,Goblin_Card,ゴブリンカード,1
4061,Cornutus_Card,カナトウスカード,0
4062,Anacondaq_Card,アナコンダクカード,1
4063,Caramel_Card,キャラメルカード,1
4064,Zerom_Card,ゼロムカード,0
4065,Kaho_Card,カホカード,1
4066,Orc_Warrior_Card,オークウォリアーカード,0
4067,Megalodon_Card,メガロドンカード,0
4068,Scorpion_Card,スコーピオンカード,1
4069,Drainliar_Card,ドレインリアーカード,1
4070,Eggyra_Card,エギラカード,0
4071,Orc_Zombie_Card,オークゾンビカード,0
4072,Golem_Card,ゴーレムカード,1
4073,Pirate_Skel_Card,パイレーツスケルカード,0
4074,Bigfoot_Card,ビッグフットカード,0
4075,Argos_Card,アルゴスカード,0
4076,Magnolia_Card,白蓮玉カード,1
4077,Phen_Card,フェンカード,0
4078,Savage_Card,サベージカード,0
4079,Mantis_Card,マンティスカード,0
4080,Flora_Card,フローラカード,1
4081,Hode_Card,ホードカード,0
4082,Desert_Wolf_Card,デザートウルフカード,1
4083,Rafflesia_Card,ラフレシアカード,0
4084,Marine_Sphere_Card,マリンスフィアーカード,0
4085,Orc_Skeleton_Card,オークスケルトンカード,1
4086,Soldier_Skeleton_Card,ソルジャースケルトンカード,1
4087,Giearth_Card,ガイアスカード,0
4088,Frilldora_Card,フリルドラカード,0
4089,Swordfish_Card,ソードフィッシュカード,0
4090,Munak_Card,ムナックカード,0
4091,Kobold_Card,コボルドカード,0
4092,Skel_Worker_Card,スケルワーカーカード,1
4093,Obeaune_Card,オボンヌカード,0
4094,Archer_Skeleton_Card,アーチャースケルトンカード,1
4095,Marse_Card,マルスカード,0
4096,Zenorc_Card,ゼノークカード,1
4097,Matyr_Card,マーターカード,0
4098,Dokebi_Card,ドケビカード,0
4099,Pasana_Card,パサナカード,0
4100,Sohee_Card,ソヒーカード,0
4101,Sandman_Card,サンドマンカード,0
4102,Whisper_Card,ウィスパーカード,0
4103,Horong_Card,ホロンカード,0
4104,Requiem_Card,レクイエムカード,1
4105,Marc_Card,マルクカード,0
4106,Mummy_Card,マミーカード,1
4107,Verit_Card,ベリットカード,0
4108,Myst_Card,ミストカード,0
4109,Jakk_Card,ジャックカード,0
4110,Ghoul_Card,グールカード,0
4111,Strouf_Card,ストラウフカード,1
4112,Marduk_Card,マルドゥークカード,0
4113,Marionette_Card,マリオネットカード,0
4114,Argiope_Card,アルギオペカード,0
4115,Hunter_Fly_Card,ハンターフライカード,1
4116,Isis_Card,イシスカード,0
4117,Sidewinder_Card,サイドワインダーカード,1
4118,Earth_Petite_Card,グラウンドプティットカード,1
4119,Bathory_Card,バースリーカード,0
4120,Sky_Petite_Card,スカイプティットカード,0
4121,Phreeoni_Card,フリオニカード,1
4122,Deviruchi_Card,デビルチカード,0
4123,Eddga_Card,エドガカード,0
4124,Medusa_Card,メデューサカード,0
4125,Deviace_Card,デビアスカード,1
4126,Minorous_Card,ミノタウロスカード,1
4127,Nightmare_Card,ナイトメアカード,0
4128,Golden_Thiefbug_Card,黄金蟲カード,0
4129,Bapho_Jr_Card,バフォメットジュニアカード,0
4130,Scorpion_King_Card,スコーピオンキングカード,1
4131,Moonlight_Flower_Card,月夜花カード,0
4132,Mistress_Card,ミストレスカード,0
4133,Raydric_Card,レイドリックカード,0
4134,Dracula_Card,ドラキュラカード,1
4135,Orc_Lord_Card,オークロードカード,0
4136,Khalitzburg_Card,カーリッツバーグカード,0
4137,Drake_Card,ドレイクカード,1
4138,Anubis_Card,アヌビスカード,0
4139,Joker_Card,ジョーカーカード,0
4140,Abysmal_Knight_Card,深淵の騎士カード,1
4141,Evil_Druid_Card,イビルドルイドカード,0
4142,Doppelganger_Card,ドッペルゲンガーカード,1
4143,Orc_Hero_Card,オークヒーローカード,0
4144,Osiris_Card,オシリスカード,0
4145,Berzebub_Card,ヴェルゼブブカード,0
4146,Maya_Card,マヤーカード,0
4147,Baphomet_Card,バフォメットカード,1
4148,Pharaoh_Card,ファラオカード,0
4149,Gargoyle_Card,ガーゴイルカード,0
4150,Goat_Card,ゴートカード,0
4151,Gajomart_Card,ガジョマートカード,0
4152,Galapago_Card,ガラパゴカード,0
4153,Crab_Card,カニカード,1
4154,Dumpling_Kid_Card,団子童子カード,0
4155,Goblin_Leader_Card,ゴブリンリーダーカード,1
4156,Goblin_Steamrider_Card,ゴブリンライダーカード,1
4157,Goblin_Archer_Card,ゴブリンアーチャーカード,1
4158,Sky_Deleter_Card,スカイデリーターカード,0
4159,Nine_Tail_Card,九尾狐カード,0
4160,Firelock_Soldier_Card,銃奇兵カード,0
4161,Grand_Peco_Card,グランペコカード,0
4162,Grizzly_Card,グリズリーカード,0
4163,Gryphon_Card,グリフォンカード,1
4164,Gullinbursti_Card,グリンブルスティカード,0
4165,Gig_Card,ギグカード,1
4166,Nightmare_Terror_Card,ナイトメアテラーカード,0
