//item_violetbox.txt＠Athena 2007/07/05 12:08:11 (JST)
// 古い紫色の箱から得られるアイテムを設定。
// nameid, item_name(dummy), rate
// アイテムID、アイテムの名前(ダミー)、確率(*10000)をした物です。500000なら50%で1000000なら100%です。)
// アイテムIDが0の場合確率をアイテムの選択に失敗した時に得られるデフォルトアイテムのIDとして認識します。(複数である場合最後の物だけ有効です。) 
0,ガード,2102
1120,ツルギ,10000
1125,環頭太刀,10000
1127,サーベル,10000
1128,海東剣,10000
1129,フランベルジェ,10000
1130,ネイガン,10000
1131,アイスファルシオン,10000
1132,エッジ,10000
1133,ファイアーブランド,10000
1134,シザーズソード,10000
1135,カトラス,10000
1136,太陽剣,10000
1137,エクスキャリバー,10000
1138,ミステルテイン,10000
1139,テイルフィング,10000
1140,別雲剣,10000
1141,無形剣,10000
1142,ジュエルソード,10000
1143,ガイアソード,10000
1144,刺身包丁,10000
1145,ホーリーアヴェンジャー,10000
1146,タウンソード,10000
1147,タウンソード,10000
1148,スターダストブレイド,10000
1149,フランベルジェ,10000
1152,スレイヤー,10000
1155,バスタードソード,10000
1158,ツーハンドソード,10000
1162,ブロードソード,10000
1163,クレイモア,10000
1164,村正,10000
1165,正宗,10000
1166,ドラゴンスレイヤー,10000
1167,シュバイチェルサーベル,10000
1168,ツヴァイハンダー,10000
1169,エクスキューショナー,10000
1170,カッツバルゲル,10000
1171,ツヴァイハンダー,10000
1172,クレイモア,10000
1173,村正R,10000
1174,エクスキューショナーR,10000
1205,カッター,10000
1208,マインゴーシュ,10000
1211,ダーク,10000
1214,ダガー,10000
1217,スティレット,10000
1220,グラディウス,10000
1226,ダマスカス,10000
1230,錐,10000
1231,バゼラルド,10000
1232,アサシンダガー,10000
1233,エキサーサイズ,10000
1234,月光剣,10000
1237,オーガトゥース,10000
1238,ゼニーナイフ,10000
1239,ポイズンナイフ,10000
1240,プリンセスナイフ,10000
1244,ホーリーダガー,10000
1251,ジュル,10000
1253,カタール,10000
1255,ジャマダハル,10000
1261,裏切り者,10000
1262,ロキの爪,10000
1263,アンホーリータッチ,10000
1264,バリアスジュル,10000
1265,ブラッディロア,10000
1266,裏切り者,10000
1267,裏切り者R,10000
1302,アックス,10000
1306,ウォーアクス,10000
1307,ウィンドホーク,10000
1352,バトルアックス,10000
1355,ハンマー,10000
1358,バスター,10000
1361,ツーハンドアックス,10000
1363,ブラッドアックス,10000
1364,グレイトアックス,10000
1365,サバス,10000
1366,ライトエプシロン,10000
1367,スローター,10000
1368,トマホーク,10000
1369,ギロチン,10000
1402,ジャベリン,10000
1405,スピアー,10000
1408,パイク,10000
1410,ランス,10000
1414,ゲラドリア,10000
1415,串,10000
1416,テュングレティー,10000
1417,ポールアクス,10000
1418,グングニール,10000
1452,ギザルム,10000
1455,グレイヴ,10000
1458,パルチザン,10000
1461,トライデント,10000
1464,ハルバード,10000
1466,クレセントサイダー,10000
1468,ゼピュロス,10000
1469,ロンギヌスの槍,10000
1470,ブリューナク,10000
