//weight,hp,hp2,sp,aspd*24(素手,短剣,片手剣,両手剣,片手槍,両手槍,片手斧,両手斧,片手鈍器,両手鈍器,片手杖,弓,爪,楽器,鞭,本,カタール,ハンドガン,ライフル,ガトリンガン,ショットガン,グレネードガン,風魔手裏剣,両手杖,盾)
//x NV,SM,MG,AC,AL,MC,TF,KN,PR,WZ,BS,HT,AS,CR,MO,SA,RG,AM,BA,DC,SNV,TK,SG,SL,GS,NJ,MB,DK,DA,RK,WL,RA,AB,NC,GC,LG,SO,MI,WA,SR,GN,SC,ESNV,KG,OB
20000,  0,500,100, 480, 590, 700,2000,2000,2000, 620,2000, 600, 600, 590,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000, 590,70
28000, 70,500,200, 380, 470, 540, 570, 590, 600, 610, 620, 580, 580,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,50
22000, 30,500,600, 490, 580,2000,2000,2000,2000,2000,2000,2000,2000, 610,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000, 610,70
26000, 50,500,200, 310, 530,2000,2000,2000,2000,2000,2000,2000,2000,2000, 650,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,60
24000, 40,500,500, 370,2000,2000,2000,2000,2000,2000,2000, 580, 580, 580,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000, 660,60
28000, 40,500,300, 380, 580, 610,2000,2000,2000, 610, 630, 610, 610,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,50
24000, 50,500,200, 370, 480, 600,2000,2000,2000, 600,2000,2000,2000,2000, 650,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,50
28000,150,500,300, 380, 510, 510, 560, 580, 580, 610, 610, 590, 590,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,50
26000, 75,500,800, 340,2000,2000,2000,2000,2000,2000,2000, 570, 570, 580,2000,2000,2000,2000, 570,2000,2000,2000,2000,2000,2000,2000, 580,50
24000, 55,500,900, 540, 560,2000,2000,2000,2000,2000,2000,2000,2000, 590,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000, 590,70
30000, 90,500,400, 340, 580, 590,2000,2000,2000, 590, 590, 600, 600,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,50
27000, 85,500,400, 330, 560,2000,2000,2000,2000,2000,2000,2000,2000,2000, 550,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,60
24000,110,500,400, 310, 440, 570,2000,2000,2000, 620,2000,2000,2000,2000,2000,2000,2000,2000,2000, 440,2000,2000,2000,2000,2000,2000,2000,60
