//mob_skill_db.txt＠Auriga 2009/06/07 01:59:05 (JST)
//MOB_ID,ダミー文字列,STATE,SKILL_ID,SKILL_LV,万分率,casttime,delay,妨害可能,ターゲット,条件タイプ,条件値,値1,値2,値3,値4,値5,使用時エモーション
1001,スコーピオン＠火属性攻撃,attack,186,1,2000,0,5000,yes,target,always,0,,,,,,
1001,スコーピオン＠毒化攻撃,attack,176,3,500,800,5000,no,target,always,0,,,,,,
1002,ポリン＠エモーション,loot,197,1,2000,0,5000,yes,self,always,0,2,,,,,
1002,ポリン＠水属性攻撃,attack,184,1,2000,0,5000,yes,target,always,0,,,,,,
1004,ホーネット＠貫通攻撃,attack,158,2,500,0,5000,yes,target,always,0,,,,,,6
1004,ホーネット＠風属性攻撃,attack,187,1,2000,0,5000,yes,target,always,0,,,,,,
1005,ファミリアー＠暗闇攻撃,attack,177,1,500,0,5000,yes,target,always,0,,,,,,
1005,ファミリアー＠闇属性攻撃,attack,190,1,2000,0,5000,yes,target,always,0,,,,,,
1007,ファブル＠地属性攻撃,attack,185,1,2000,0,5000,yes,target,always,0,,,,,,
1007,ファブル＠メタモルフォース,idle,193,1,10,2000,5000,no,self,always,0,1008,,,,,
1008,プパ＠エモーション,idle,197,1,2000,0,5000,yes,self,always,0,19,,,,,
1008,プパ＠メタモルフォース,idle,193,1,10,2000,5000,no,self,always,0,1018,,,,,
1009,コンドル＠アドレナリンラッシュ,attack,111,1,500,1500,300000,yes,self,always,0,,,,,,
1009,コンドル＠エモーション,idle,197,1,2000,0,5000,yes,self,always,0,5,,,,,
1009,コンドル＠風属性攻撃,attack,187,3,500,500,5000,no,target,always,0,,,,,,6
1010,ウィロー＠地属性攻撃,attack,185,1,2000,0,5000,yes,target,always,0,,,,,,
1010,ウィロー＠念属性攻撃,attack,191,5,500,0,5000,yes,target,always,0,,,,,,9
1010,ウィロー＠念属性攻撃,chase,191,5,500,0,5000,yes,target,always,0,,,,,,9
1011,チョンチョン＠風属性攻撃,attack,187,1,2000,0,5000,yes,target,always,0,,,,,,
1012,ロッダフロッグ＠水属性攻撃,attack,184,1,2000,0,5000,yes,target,always,0,,,,,,
1013,ウルフ＠地属性攻撃,attack,185,2,500,500,5000,no,target,always,0,,,,,,6
1013,ウルフ＠パフォーマンス,chase,194,1,200,0,5000,yes,self,always,0,,,,,,19
1014,スポア＠エモーション,idle,197,1,2000,0,5000,yes,self,always,0,1,,,,,
1014,スポア＠パフォーマンス,chase,194,1,200,0,5000,yes,self,always,0,,,,,,19
1014,スポア＠睡眠攻撃,attack,182,1,500,0,5000,yes,target,always,0,,,,,,
1014,スポア＠水属性攻撃,attack,184,1,2000,0,5000,yes,target,always,0,,,,,,
1015,ゾンビ＠毒化攻撃,attack,176,1,500,800,5000,no,target,always,0,,,,,,
1015,ゾンビ＠不死属性攻撃,attack,347,1,2000,0,5000,yes,target,always,0,,,,,,
1016,アーチャースケルトン＠ダブルストレイフィング,attack,46,1,500,1000,5000,no,target,always,0,,,,,,
1016,アーチャースケルトン＠不死属性攻撃,attack,347,2,500,500,5000,no,target,always,0,,,,,,
1018,クリーミー＠テレポート,attack,26,1,500,0,5000,yes,self,myhpltmaxrate,30,,,,,,
1018,クリーミー＠テレポート,idle,26,1,500,0,5000,yes,self,always,0,,,,,,
1018,クリーミー＠睡眠攻撃,attack,182,3,500,0,5000,yes,target,always,0,,,,,,
1018,クリーミー＠風属性攻撃,attack,187,1,2000,0,5000,yes,target,always,0,,,,,,
1019,ペコペコ＠ソニックブロー,attack,136,5,500,800,5000,no,target,always,0,,,,,,6
1019,ペコペコ＠エモーション,chase,197,1,2000,0,5000,yes,self,always,0,6,,,,,
1019,ペコペコ＠火属性攻撃,attack,186,1,2000,0,5000,yes,target,always,0,,,,,,
1019,ペコペコ＠パフォーマンス,chase,194,1,200,0,5000,yes,self,always,0,,,,,,19
1020,マンドラゴラ＠地属性攻撃,attack,185,1,2000,0,5000,yes,anothertarget,always,0,,,,,,
1023,オークウォリアー＠エモーション,chase,197,1,200,0,5000,yes,self,always,0,19,129,,,,19
1023,オークウォリアー＠エモーション,chase,197,1,2000,0,5000,yes,self,always,0,27,,,,,
1023,オークウォリアー＠地属性攻撃,attack,185,2,500,500,5000,no,target,always,0,,,,,,6
1023,オークウォリアー＠エモーション,idle,197,1,2000,0,5000,yes,self,always,0,32,133,,,,
1023,オークウォリアー＠喫煙,idle,195,1,500,0,36000000,yes,self,always,0,,,,,,9
1024,ワームテール＠地属性攻撃,attack,185,2,500,500,5000,no,target,always,0,,,,,,6
1025,スネイク＠地属性攻撃,attack,185,1,2000,0,5000,yes,target,always,0,,,,,,
1025,スネイク＠毒化攻撃,attack,176,2,500,800,5000,no,target,always,0,,,,,,
1026,ムナック＠エモーション,chase,197,1,200,0,5000,yes,self,always,0,19,129,,,,
1026,ムナック＠エモーション,idle,197,1,2000,0,5000,yes,self,always,0,1,133,,,,
1026,ムナック＠スタン攻撃,attack,179,2,500,1500,5000,no,target,always,0,,,,,,6
1028,ソルジャースケルトン＠連続攻撃,attack,171,1,500,700,5000,no,target,always,0,,,,,,
1028,ソルジャースケルトン＠エモーション,chase,197,1,2000,0,5000,yes,self,always,0,6,,,,,
1028,ソルジャースケルトン＠不死属性攻撃,attack,347,1,2000,0,5000,yes,target,always,0,,,,,,
1029,イシス＠クリティカル攻撃,attack,170,1,500,500,5000,no,target,always,0,,,,,,6
1029,イシス＠闇属性攻撃,attack,190,1,2000,0,5000,yes,target,always,0,,,,,,
1029,イシス＠エモーション,chase,197,1,200,0,5000,yes,self,always,0,19,129,,,,
1029,イシス＠エモーション,idle,197,1,2000,0,5000,yes,self,always,0,6,149,,,,
1030,アナコンダク＠毒化攻撃,attack,176,3,500,800,5000,no,target,always,0,,,,,,
1030,アナコンダク＠毒属性攻撃,attack,188,1,2000,0,5000,yes,target,always,0,,,,,,
1031,ポポリン＠エモーション,loot,197,1,2000,0,5000,yes,self,always,0,2,,,,,
1031,ポポリン＠毒化攻撃,attack,176,2,500,800,5000,no,target,always,0,,,,,,
1031,ポポリン＠毒属性攻撃,attack,188,1,2000,0,5000,yes,target,always,0,,,,,,
1032,ベリット＠エモーション,loot,197,1,2000,0,5000,yes,self,always,0,2,,,,,
