//R化前job_db1.txt＠Auriga
//job,joblv,weight,hp,hp2,sp,ap,aspd*24(素手,短剣,片手剣,両手剣,片手槍,両手槍,片手斧,両手斧,片手鈍器,両手鈍器,片手杖,弓,爪,楽器,鞭,本,カタール,ハンドガン,ライフル,ガトリンガン,ショットガン,グレネードガン,風魔手裏剣,両手杖,盾)
 0,10,      20000,  0, 500, 100,   0, 500, 650, 700,2000,2000,2000, 800,2000, 700, 700, 650,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000, 650,0
 1,50,      28000, 70, 500, 200,   0, 400, 500, 550, 600, 650, 700, 700, 750, 650, 700,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,0
 2,50,      22000, 30, 500, 600,   0, 500, 600,2000,2000,2000,2000,2000,2000,2000,2000, 700,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000, 700,0
 3,50,      26000, 50, 500, 200,   0, 400, 600,2000,2000,2000,2000,2000,2000,2000,2000,2000, 700,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,0
 4,50,      24000, 40, 500, 500,   0, 400,2000,2000,2000,2000,2000,2000,2000, 600, 600, 600,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000, 600,0
 5,50,      28000, 40, 500, 300,   0, 400, 600, 700,2000,2000,2000, 700, 750, 700, 700,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,0
 6,50,      24000, 50, 500, 200,   0, 400, 500, 650,2000,2000,2000, 800,2000,2000,2000,2000, 800,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,0
 7,50:70:50,28000,150, 500, 300,   0, 400, 500, 500, 550, 600, 600, 700, 700, 650, 700,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,0
 8,50:70:50,26000, 75, 500, 800,   0, 400,2000,2000,2000,2000,2000,2000,2000, 600, 600, 600,2000,2000,2000,2000, 600,2000,2000,2000,2000,2000,2000,2000, 600,0
 9,50:70:50,24000, 55, 500, 900,   0, 500, 575,2000,2000,2000,2000,2000,2000,2000,2000, 625,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000, 625,0
10,50:70:50,30000, 90, 500, 400,   0, 400, 600, 650,2000,2000,2000, 650, 650, 675, 675,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,0
11,50:70:50,27000, 85, 500, 400,   0, 400, 600,2000,2000,2000,2000,2000,2000,2000,2000,2000, 600,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,0
12,50:70:50,24000,110, 500, 400,   0, 400, 500, 650,2000,2000,2000, 800,2000,2000,2000,2000,2000,2000,2000,2000,2000, 500,2000,2000,2000,2000,2000,2000,2000,0
13,50:70:50,28000,110, 700, 470,   0, 400, 500, 500, 550, 600, 600, 700, 700, 650, 700,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,0
14,50:70:50,26000, 90, 650, 470,   0, 400,2000,2000,2000,2000,2000,2000,2000, 575, 575, 575,2000, 475,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000, 575,0
15,50:70:50,24000, 75, 500, 700,   0, 450, 525,2000,2000,2000,2000,2000,2000,2000,2000, 625,2000,2000,2000,2000, 550,2000,2000,2000,2000,2000,2000,2000, 625,0
16,50:70:50,24000, 85, 500, 500,   0, 400, 500, 550,2000,2000,2000,2000,2000,2000,2000,2000, 650,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,0
17,50:70:50,30000, 90, 500, 400,   0, 400, 550, 575,2000,2000,2000, 675, 700, 650, 650,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000, 575,0
18,50:70:50,27000, 75, 300, 600,   0, 400, 550,2000,2000,2000,2000,2000,2000,2000,2000,2000, 650,2000, 575,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,0
19,50:70:50,27000, 75, 300, 600,   0, 400, 550,2000,2000,2000,2000,2000,2000,2000,2000,2000, 650,2000,2000, 575,2000,2000,2000,2000,2000,2000,2000,2000,2000,0
20,99,      20000,  0, 500, 100,   0, 500, 650, 700,2000,2000,2000, 800,2000, 700, 700, 650,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000, 650,0
21,50,      28000, 70, 500, 200,   0, 400,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,0
22,50,      28000, 90, 650, 470,   0, 400,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000, 500,2000,2000,2000,2000,2000,2000,2000,2000,0
23,50,      24000, 75, 500, 900,   0, 500, 575,2000,2000,2000,2000,2000,2000,2000,2000, 625,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000, 650,0
24,70,      28000, 90, 650, 470,   0, 500,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000, 700, 750, 700,1500,1500,2000,2000,0
25,70,      26000, 75, 500, 540,   0, 400, 500,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000, 750,2000,0
26,50,      20000,  0, 500, 100,   0,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,0
27,50,      20000,  0, 500, 100,   0,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,0
28,50,      20000,  0, 500, 100,   0,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,0
