//R化前mob_skill_db.txt＠Auriga
//MOB_ID,ダミー文字列,STATE,SKILL_ID,SKILL_LV,万分率,casttime,delay,妨害可能,ターゲット,条件タイプ,条件値,値1,値2,値3,値4,値5,使用時エモーション
1640,clear,,,,,,,,,,,,,,,,
1640,セイレン=ウィンザー＠自爆,attack,173,1,2000,2000,0,no,self,myhpltmaxrate,3,,,,,,
1640,セイレン=ウィンザー＠インティミデイト,attack,219,10,100,0,5000,yes,target,always,0,,,,,,
1640,セイレン=ウィンザー＠テレポート,idle,26,1,1000,0,0,yes,self,rudeattacked,,,,,,,
1640,セイレン=ウィンザー＠テレポート,walk,26,1,1000,0,5000,yes,self,rudeattacked,,,,,,,
1640,セイレン=ウィンザー＠スピアブーメラン,idle,59,5,10000,0,0,yes,anothertarget,always,0,,,,,,6
1640,セイレン=ウィンザー＠スパイラルピアース,chase,397,5,2000,0,5000,yes,target,myhpltmaxrate,60,,,,,,
1640,セイレン=ウィンザー＠スパイラルピアース,attack,397,5,2000,0,5000,yes,target,myhpltmaxrate,60,,,,,,
1640,セイレン=ウィンザー＠スピアブーメラン,chase,59,5,10000,0,0,yes,target,skillused,18,,,,,,6
1640,セイレン=ウィンザー＠ツーハンドクイッケン,attack,60,10,10000,0,300000,yes,self,always,0,,,,,,2
//1640,セイレン=ウィンザー＠ボウリングバッシュ,attack,62,10,1000,0,10000,yes,target,always,0,,,,,,
//1640,セイレン=ウィンザー＠ボウリングバッシュ,attack,62,10,2000,0,0,yes,target,myhpltmaxrate,30,,,,,,
1640,セイレン=ウィンザー＠バッシュ,attack,5,10,1000,0,5000,yes,target,always,0,,,,,,
1640,セイレン=ウィンザー＠バッシュ,attack,5,10,2000,0,0,yes,target,myhpltmaxrate,30,,,,,,
1640,セイレン=ウィンザー＠マグナムブレイク,attack,7,10,1000,0,0,yes,self,attackpcge,2,,,,,,
1640,セイレン=ウィンザー＠ラッシュアタック,attack,349,5,2000,0,100000,yes,self,always,0,,,,,,
1640,セイレン=ウィンザー＠ラッシュアタック,attack,349,5,2000,0,25000,yes,self,myhpltmaxrate,30,,,,,,
1640,セイレン=ウィンザー＠プロボック,attack,6,10,1000,0,300000,yes,target,always,0,,,,,,29
1640,セイレン=ウィンザー＠プロボック,chase,6,10,1000,0,5000,yes,target,always,0,,,,,,29
1640,セイレン=ウィンザー＠インデュア,chase,8,10,2000,0,30000,yes,self,longrangeattacked,,,,,,,6
1640,セイレン=ウィンザー＠クリティカル攻撃,attack,170,1,1000,0,5000,yes,target,always,0,,,,,,
1640,セイレン=ウィンザー＠スタン攻撃,attack,179,5,1000,0,5000,yes,target,always,0,,,,,,
1640,セイレン=ウィンザー＠火属性攻撃,attack,186,10,1000,0,5000,yes,target,always,0,,,,,,
1641,clear,,,,,,,,,,,,,,,,
1641,エレメス=ガイル＠自爆,attack,173,1,2000,2000,0,no,self,myhpltmaxrate,3,,,,,,
1641,エレメス=ガイル＠インティミデイト,attack,219,10,100,0,5000,yes,target,always,0,,,,,,
1641,エレメス=ガイル＠テレポート,idle,26,1,10000,0,0,yes,self,rudeattacked,,,,,,,
1641,エレメス=ガイル＠テレポート,walk,26,1,5000,0,5000,yes,self,rudeattacked,,,,,,,
1641,エレメス=ガイル＠グリムトゥース,idle,137,5,10000,0,0,yes,anothertarget,always,0,,,,,,6
1641,エレメス=ガイル＠グリムトゥース,chase,137,5,10000,0,0,yes,target,skillused,18,,,,,,6
1641,エレメス=ガイル＠ソウルブレイカー,chase,379,10,2000,0,5000,yes,target,always,0,,,,,,
1641,エレメス=ガイル＠メテオアサルト,attack,406,10,2000,0,10000,yes,self,always,0,,,,,,
1641,エレメス=ガイル＠インビジブル,idle,353,1,2000,0,30000,yes,self,always,0,,,,,,
1641,エレメス=ガイル＠インビジブル,attack,353,1,2000,0,30000,yes,self,always,0,,,,,,
1641,エレメス=ガイル＠ターゲット攻撃,attack,172,10,2000,0,15000,yes,target,always,0,,,,,,
1641,エレメス=ガイル＠インベナム,attack,52,10,1000,0,10000,yes,target,always,0,,,,,,
1641,エレメス=ガイル＠速度強化,attack,350,5,2000,0,100000,yes,self,always,0,,,,,,
1641,エレメス=ガイル＠速度強化,attack,350,5,2000,0,25000,yes,self,myhpltmaxrate,30,,,,,,
1641,エレメス=ガイル＠ソニックブロー,attack,136,10,2000,0,5000,yes,target,always,0,,,,,,6
1641,エレメス=ガイル＠ソニックブロー,attack,136,10,3000,0,0,yes,target,myhpltmaxrate,30,,,,,,6
1641,エレメス=ガイル＠グリムトゥース,chase,137,5,2000,0,0,yes,target,always,0,,,,,,
1641,エレメス=ガイル＠ベナムダスト,idle,140,1,2000,0,10000,yes,anothertarget,always,0,,,,,,29
1641,エレメス=ガイル＠ベナムダスト,attack,140,1,2000,0,10000,yes,around5,always,0,,,,,,29
1641,エレメス=ガイル＠クリティカル攻撃,attack,170,1,1000,0,5000,yes,target,always,0,,,,,,
1641,エレメス=ガイル＠スタン攻撃,attack,179,5,1000,0,5000,yes,target,always,0,,,,,,
1641,エレメス=ガイル＠毒属性攻撃,attack,188,10,1000,0,5000,yes,target,always,0,,,,,,
1642,clear,,,,,,,,,,,,,,,,
1642,ハワード=アルトアイゼン＠自爆,attack,173,1,2000,2000,0,no,self,myhpltmaxrate,3,,,,,,
1642,ハワード=アルトアイゼン＠インティミデイト,attack,219,10,100,0,5000,yes,target,always,0,,,,,,
1642,ハワード=アルトアイゼン＠テレポート,idle,26,1,10000,0,0,yes,self,rudeattacked,,,,,,,
1642,ハワード=アルトアイゼン＠テレポート,walk,26,1,5000,0,5000,yes,self,rudeattacked,,,,,,,
1642,ハワード=アルトアイゼン＠アドレナリンラッシュ,attack,111,10,2000,0,150000,yes,self,always,0,,,,,,
1642,ハワード=アルトアイゼン＠マキシマイズパワー,attack,114,1,1000,0,60000,yes,self,always,0,,,,,,
1642,ハワード=アルトアイゼン＠メマーナイト,attack,42,10,2000,0,5000,yes,target,always,0,,,,,,23
1642,ハワード=アルトアイゼン＠メマーナイト,attack,42,10,2000,0,0,yes,target,myhpltmaxrate,30,,,,,,23
1642,ハワード=アルトアイゼン＠ハンマーフォール,chase,110,10,2000,0,5000,yes,target,always,0,,,,,,
1642,ハワード=アルトアイゼン＠ハンマーフォール,attack,110,10,2000,0,5000,yes,target,always,0,,,,,,
1642,ハワード=アルトアイゼン＠ラッシュアタック,attack,349,5,2000,0,100000,yes,self,always,0,,,,,,
