//R化前skill_cast_db.txt＠Auriga
//id,cast_list,fixed_cast_list,delay_list,cool_list,upkeep_time,upkeep_time2
12,4000:3500:3000:2500:2000:1500:1000:1000:1000:1000,0,0,0,5000:10000:15000:20000:25000:30000:35000:40000:45000:50000,0	//MG_SAFETYWALL#セイフティウォール#
14,700:1400:2100:2800:3500:4200:4900:5600:6300:7000,0,1000:1200:1400:1600:1800:2000:2200:2400:2600:2800,0,0,0	//MG_COLDBOLT#コールドボルト#
17,1500:1500:1500:1500:1500:1000:1000:1000:1000:1000,0,1500:1500:1500:1500:1500:1000:1000:1000:1000:1000,0,0,0	//MG_FIREBALL#ファイアーボール#
18,2000:1850:1700:1550:1400:1250:1100:950:800:650,0,0,0,5000:6000:7000:8000:9000:10000:11000:12000:13000:14000,0	//MG_FIREWALL#ファイアーウォール#
19,700:1400:2100:2800:3500:4200:4900:5600:6300:7000,0,1000:1200:1400:1600:1800:2000:2200:2400:2600:2800,0,0,0	//MG_FIREBOLT#ファイアーボルト#
20,700:1400:2100:2800:3500:4200:4900:5600:6300:7000,0,1000:1200:1400:1600:1800:2000:2200:2400:2600:2800,0,0,0	//MG_LIGHTNINGBOLT#ライトニングボルト#
21,1000:2000:3000:4000:5000:6000:7000:8000:9000:10000,0,2000,0,500,0	//MG_THUNDERSTORM#サンダーストーム#
83,15000,0,2500:3000:3500:4000:4500:5000:5500:6000:6500:7000,0,500,5000	//WZ_METEOR#メテオストーム#
84,2500:3000:3500:4000:4500:5000:5500:6000:6500:7000,0,0,0,0,0	//WZ_JUPITEL#ユピテルサンダー#
85,15000:14500:14000:13500:13000:12500:12000:11500:11000:10500,0,5000,0,4100,30000	//WZ_VERMILION#ロードオブヴァーミリオン#
86,1000:2000:3000:4000:5000,0,0,0,0,0	//WZ_WATERBALL#ウォーターボール#
88,6000:6000:5500:5500:5000:5000:4500:4500:4000:4000,0,1000,0,500,1500:3000:4500:6000:7500:9000:10500:12000:13500:15000	//WZ_FROSTNOVA#フロストノヴァ#
89,6000:7000:8000:9000:10000:11000:12000:13000:14000:15000,0,5000,0,4600,12000	//WZ_STORMGUST#ストームガスト#
90,700:1400:2100:2800:3500,0,1000:1200:1400:1600:1800,0,0,0	//WZ_EARTHSPIKE#アーススパイク#
91,1000:2000:3000:4000:5000,0,1000,0,500,0	//WZ_HEAVENDRIVE#ヘヴンズドライブ#
1005,0,0,0,0,15000,0		//RG_CLOSECONFINE#クローズコンファイン#
