//item_bluebox.txt＠Athena 2006/05/26 20:20:21 (JST)
// 古く青い箱から得られるアイテムを設定。
// nameid, item_name(dummy), rate
// アイテムID、アイテムの名前(ダミー)、確率(*10000)をした物です。500000なら50%で1000000なら100%です。)
// アイテムIDが0の場合確率をアイテムの選択に失敗した時に得られるデフォルトアイテムのIDとして認識します。(複数である場合最後の物だけ有効です。)
0,ガード,2101
2101,ガード,3000
2102,ガード[1],3000
2103,バックラー,3000
2104,バックラー[1],3000
2105,シールド,3000
2106,シールド[1],3000
2107,ミラーシールド,3000
2108,ミラーシールド[1],3000
2109,メモライズブック,3000
2112,初心者用ガード,3000
2301,コットンシャツ,3000
2302,コットンシャツ[1],3000
2303,レザージャケット,3000
2304,レザージャケット[1],3000
2305,アドベンチャースーツ,3000
2306,アドベンチャースーツ[1],3000
2307,メントル,3000
2308,メントル[1],3000
2309,ロングコート,3000
2310,ロングコート[1],3000
2311,ミンクのコート[1],3000
2312,アーマー,3000
2313,アーマー[1],3000
2314,メイル,3000
2315,メイル[1],3000
2316,プレート,3000
2317,プレート[1],3000
2318,ロードクロース[1],3000
2320,フォーマルスーツ[1],3000
2321,シルクローブ,3000
2322,シルクローブ[1],3000
2323,スケーピューラ,3000
2324,スケーピューラ[1],3000
2325,セイントローブ,3000
2326,セイントローブ[1],3000
2328,ウドゥンメイル,3000
2329,ウドゥンメイル[1],3000
2330,タイツ,3000
2331,タイツ[1],3000
2332,シルバーローブ,3000
2333,シルバーローブ[1],3000
2335,シーフクロース,3000
2336,シーフクロース[1],3000
2337,忍者スーツ,3000
2338,ウェディングドレス,3000
2339,ブリーフ,3000
2340,初心者用胸当て[1],3000
2341,フルプレート,3000
2352,初心者用忍者スーツ,3000
2401,サンダル,3000
2402,サンダル[1],3000
2403,シューズ,3000
2404,シューズ[1],3000
2405,ブーツ,3000
2406,ブーツ[1],3000
2407,ガラスの靴,3000
2408,足鎖,3000
2409,ハイヒール,3000
2411,グリーブ,3000
2414,初心者用ビーチサンダル,3000
2501,フード,3000
2502,フード[1],3000
2503,マフラー,3000
2504,マフラー[1],3000
2505,マント,3000
2506,マント[1],3000
2507,昔の領主のマント,3000
2508,ぼろマント,3000
2510,初心者用フード,3000
2601,リング,3000
2602,イヤリング,3000
2603,ネックレス,3000
2604,グローブ,3000
2605,ブローチ,3000
2607,クリップ[1],3000
2608,ロザリー,3000
2609,骸骨の指輪,3000
2610,金の指輪,3000
2611,銀の指輪,3000
2612,花の指輪,3000
2613,ダイヤの指輪,3000
2617,神官の手袋,3000
2618,マーターの首輪,3000
2627,ベルト[1],3000
2628,ノービスアミュレット[1],3000
1116,カタナ[3],3000
1117,カタナ[4],3000
1151,スレイヤー[2],3000
1152,スレイヤー[3],3000
1154,バスタードソード[2],3000
1155,バスタードソード[3],3000
1157,ツーハンドソード[1],3000
1158,ツーハンドソード[2],3000
1160,ブロードソード[1],3000
1162,ブロードソード[2],3000
1163,クレイモア,3000
1250,ジュル[2],3000
1251,ジュル[3],3000
1252,カタール[1],3000
1253,カタール[2],3000
1254,ジャマダハル,3000
1255,ジャマダハル[1],3000
1256,冷たい氷柱のカタール,3000
1257,尖ってるいばらのカタール,3000
1258,爆炎のカタール,3000
1259,疾風のカタール,3000
1351,バトルアックス[3],3000
1352,バトルアックス[4],3000
1354,ハンマー[2],3000
1355,ハンマー[3],3000
1357,バスター[1],3000
1358,バスター[2],3000
1360,ツーハンドアックス[1],3000
1361,ツーハンドアックス[2],3000
1410,ランス,3000
1411,ランス,3000
1451,ギザルム[2],3000
1452,ギザルム[3],3000
1454,グレイヴ[2],3000
1455,グレイヴ[3],3000
1457,パルチザン[1],3000
1458,パルチザン[2],3000
1460,トライデント[2],3000
1461,トライデント[3],3000
1463,ハルバード[1],3000
1464,ハルバード[2],3000
1472,スタッフオブソウル,3000
1701,ボウ[3],3000
1702,ボウ[4],3000
1704,コンポジットボウ[3],3000
1705,コンポジットボウ[4],3000
1707,グレイトボウ[2],3000
1708,グレイトボウ[3],3000
1710,クロスボウ[2],3000
1711,クロスボウ[3],3000
1713,アーバレスト[1],3000
1714,角弓[1],3000
1715,アーバレスト[2],3000
1716,角弓[2],3000
1718,ハンターボウ,3000
1101,ソード[3],6000
1102,ソード[4],6000
1104,ファルシオン[3],6000
1105,ファルシオン[4],6000
1107,ブレイド[3],6000
1108,ブレイド[4],6000
1110,レイピア[2],6000
1111,レイピア[3],6000
1113,シミター[2],6000
1114,シミター[3],6000
1119,ツルギ[1],6000
1120,ツルギ[2],6000
1122,環頭太刀[2],6000
1123,海東剣[1],6000
1124,オーキッシュソード,6000
1125,環頭太刀[3],6000
1126,サーベル[2],6000
1127,サーベル[3],6000
1128,海東剣[2],6000
1129,フランベルジェ,6000
1201,ナイフ[3],3000
1202,ナイフ[4],3000
1204,カッター[3],3000
1205,カッター[4],3000
1207,マインゴーシュ[3],3000
1208,マインゴーシュ[4],3000
1210,ダーク[2],3000
1211,ダーク[3],3000
1213,ダガー[2],3000
1214,ダガー[3],3000
1216,スティレット[2],3000
1217,スティレット[3],3000
1219,グラディウス[2],3000
1220,グラディウス[3],3000
1222,ダマスカス[1],3000
1226,ダマスカス[2],3000
1243,初心者用マインゴーシュ,3000
1301,アックス[3],3000
1302,アックス[4],3000
1304,オーキッシュアックス,3000
1401,ジャベリン[3],9000
1402,ジャベリン[4],9000
1404,スピアー[3],9000
1405,スピアー[4],9000
1407,パイク[3],9000
1408,パイク[4],9000
1501,クラブ[3],6000
1502,クラブ[4],6000
1504,メイス[3],6000
1505,メイス[4],6000
1507,スマッシャー[2],6000
1508,スマッシャー[3],6000
1510,フレイル[2],6000
1511,フレイル[3],6000
1513,モーニングスター[1],6000
1514,モーニングスター[2],6000
1516,ソードメイス,6000
1517,ソードメイス[1],6000
1519,チェイン[2],6000
1520,チェイン[3],6000
1522,スタナー,6000
1550,ブック[3],3000
1551,バイブル[2],3000
1552,タブレット[1],3000
1553,荒れ狂う波の書,3000
1554,裂けた大地の書,3000
1555,燃える太陽の書,3000
1556,乾いてる風の書,3000
1558,少女の日記[1],3000
1601,ロッド[3],3000
1602,ロッド[4],3000
1604,ワンド[2],3000
1605,ワンド[3],3000
1607,スタッフ[2],3000
1608,スタッフ[3],3000
1610,アークワンド[1],3000
1611,アークワンド[2],3000
1613,マイトスタッフ,3000
1614,神官の杖,3000
1615,骸骨の杖,3000
1801,バグナウ[3],3000
1802,バグナウ[4],3000
1803,ナックルダスター[2],3000
1804,ナックルダスター[3],3000
1805,ホラ[2],3000
1806,ホラ[3],3000
1807,フィスト,3000
1808,フィスト[1],3000
1809,クロー[1],3000
1810,クロー[2],3000
1811,フィンガー[1],3000
1812,フィンガー[2],3000
1901,バイオリン[3],3000
1902,バイオリン[4],3000
1903,マンドリン[2],3000
1904,マンドリン[3],3000
1905,リュート[2],3000
1906,リュート[3],3000
1907,ギター,3000
1908,ギター[1],3000
1909,ハープ[1],3000
1910,ハープ[2],3000
1911,ゴムンゴ[1],3000
1912,ゴムンゴ[2],3000
1950,ロープ[3],3000
1951,ロープ[4],3000
1952,ライン[2],3000
1953,ライン[3],3000
1954,ワイヤー[2],3000
1955,ワイヤー[3],3000
1956,ランテ,3000
1957,ランテ[1],3000
1958,テイル[1],3000
1959,テイル[2],3000
1960,ホイップ[1],3000
1961,ホイップ[2],3000
2201,サングラス,3000
2203,グラス,3000
2205,ダイバーゴーグル,3000
2206,ヴェール,3000
2207,装飾用花,3000
2208,リボン,3000
2209,リボン[1],3000
2210,ヘアバンド,3000
2211,頭巾,3000
2212,眼帯,3000
2213,猫耳のヘアバンド,3000
2214,ウサギのヘアバンド,3000
2215,花のヘアバンド,3000
2216,ビレタ,3000
2217,ビレタ[1],3000
2218,マスク,3000
2220,ハット,3000
2221,ハット[1],3000
2222,丸いぼうし,3000
2223,丸いぼうし[1],3000
2226,キャップ,3000
