//item_violetbox.txt＠Athena 2006/09/24 20:41:13 (JST)
// 古い紫色の箱から得られるアイテムを設定。
// nameid, item_name(dummy), rate
// アイテムID、アイテムの名前(ダミー)、確率(*10000)をした物です。500000なら50%で1000000なら100%です。)
// アイテムIDが0の場合確率をアイテムの選択に失敗した時に得られるデフォルトアイテムのIDとして認識します。(複数である場合最後の物だけ有効です。)
0,ガード[1],2102
2102,ガード[1],7000
2104,バックラー[1],7000
2106,シールド[1],7000
2108,ミラーシールド[1],7000
2109,メモライズブック,7000
2112,初心者用ガード,7000
2302,コットンシャツ[1],7000
2304,レザージャケット[1],7000
2306,アドベンチャースーツ[1],7000
2308,メントル[1],7000
2310,ロングコート[1],7000
2311,ミンクのコート[1],7000
2313,アーマー[1],7000
2315,メイル[1],7000
2317,プレート[1],7000
2318,ロードクロース[1],7000
2320,フォーマルスーツ[1],7000
2322,シルクローブ[1],7000
2324,スケーピューラ[1],7000
2326,セイントローブ[1],7000
2329,ウドゥンメイル[1],7000
2331,タイツ[1],7000
2333,シルバーローブ[1],7000
2336,シーフクロース[1],7000
2337,忍者スーツ,7000
2338,ウェディングドレス,7000
2339,ブリーフ,7000
2340,初心者用胸当て[1],7000
2352,初心者用忍者スーツ,7000
2402,サンダル[1],7000
2404,シューズ[1],7000
2406,ブーツ[1],7000
2407,ガラスの靴,7000
2408,足鎖,7000
2409,ハイヒール,7000
2411,グリーブ,7000
2414,初心者用ビーチサンダル,7000
2502,フード[1],7000
2504,マフラー[1],7000
2506,マント[1],7000
2507,昔の領主のマント,7000
2508,ぼろマント,7000
2510,初心者用フード,7000
2601,リング,7000
2602,イヤリング,7000
2603,ネックレス,7000
2604,グローブ,7000
2605,ブローチ,7000
2607,クリップ[1],7000
2608,ロザリー,7000
2609,骸骨の指輪,7000
2610,金の指輪,7000
2611,銀の指輪,7000
2612,花の指輪,7000
2613,ダイヤの指輪,7000
2617,神官の手袋,7000
2618,マーターの首輪,7000
2627,ベルト[1],7000
2628,ノービスアミュレット[1],7000
1117,カタナ[4],7000
1152,スレイヤー[3],7000
1155,バスタードソード[3],7000
1158,ツーハンドソード[2],7000
1162,ブロードソード[2],7000
1163,クレイモア,7000
1251,ジュル[3],7000
1253,カタール[2],7000
1255,ジャマダハル[1],7000
1256,冷たい氷柱のカタール,7000
1257,尖ってるいばらのカタール,7000
1258,爆炎のカタール,7000
1259,疾風のカタール,7000
1352,バトルアックス[4],7000
1355,ハンマー[3],7000
1358,バスター[2],7000
1361,ツーハンドアックス[2],7000
1411,ランス,7000
1452,ギザルム[3],7000
1455,グレイヴ[3],7000
1458,パルチザン[2],7000
1461,トライデント[3],7000
1464,ハルバード[2],7000
1472,スタッフオブソウル,7000
1702,ボウ[4],7000
1705,コンポジットボウ[4],7000
1708,グレイトボウ[3],7000
1711,クロスボウ[3],7000
1715,アーバレスト[2],7000
1716,角弓[2],7000
1718,ハンターボウ,7000
1102,ソード[4],7000
1105,ファルシオン[4],7000
1108,ブレイド[4],7000
1111,レイピア[3],7000
1114,シミター[3],7000
1120,ツルギ[2],7000
1124,オーキッシュソード,7000
1125,環頭太刀[3],7000
1127,サーベル[3],7000
1128,海東剣[2],7000
1129,フランベルジェ,7000
1202,ナイフ[4],7000
1205,カッター[4],7000
1208,マインゴーシュ[4],7000
1211,ダーク[3],7000
1214,ダガー[3],7000
1217,スティレット[3],7000
1220,グラディウス[3],7000
1226,ダマスカス[2],7000
1243,初心者用マインゴーシュ,7000
1302,アックス[4],7000
1304,オーキッシュアックス,7000
1402,ジャベリン[4],7000
1405,スピアー[4],7000
1408,パイク[4],7000
1502,クラブ[4],7000
1505,メイス[4],7000
1508,スマッシャー[3],7000
1511,フレイル[3],7000
1514,モーニングスター[2],7000
1517,ソードメイス[1],7000
1520,チェイン[3],7000
1522,スタナー,7000
1550,ブック[3],7000
1551,バイブル[2],7000
1552,タブレット[1],7000
1553,荒れ狂う波の書,7000
1554,裂けた大地の書,7000
1555,燃える太陽の書,7000
1556,乾いてる風の書,7000
1558,少女の日記[1],7000
1602,ロッド[4],7000
1605,ワンド[3],7000
1608,スタッフ[3],7000
1611,アークワンド[2],7000
1613,マイトスタッフ,7000
1614,神官の杖,7000
1615,骸骨の杖,7000
1802,バグナウ[4],7000
1804,ナックルダスター[3],7000
1806,ホラ[3],7000
1808,フィスト[1],7000
1810,クロー[2],7000
1812,フィンガー[2],7000
1902,バイオリン[4],7000
1904,マンドリン[3],7000
1906,リュート[3],7000
1908,ギター[1],7000
1910,ハープ[2],7000
1912,ゴムンゴ[2],7000
1951,ロープ[4],7000
1953,ライン[3],7000
1955,ワイヤー[3],7000
1957,ランテ[1],7000
1959,テイル[2],7000
1961,ホイップ[2],7000
2201,サングラス,7000
2203,グラス,7000
2205,ダイバーゴーグル,7000
2206,ヴェール,7000
2207,装飾用花,7000
2208,リボン,7000
2209,リボン[1],7000
2210,ヘアバンド,7000
2211,頭巾,7000
2212,眼帯,7000
2213,猫耳のヘアバンド,7000
2214,ウサギのヘアバンド,7000
2215,花のヘアバンド,7000
2216,ビレタ,7000
2217,ビレタ[1],7000
2218,マスク,7000
2220,ハット,7000
2221,ハット[1],7000
2222,丸いぼうし,7000
2223,丸いぼうし[1],7000
2226,キャップ,7000
2227,キャップ[1],7000
2228,ヘルム,7000
2229,ヘルム[1],7000
2230,ジュエルヘルム,7000
2231,ジュエルヘルム[1],7000
2232,サークレット,7000
2233,サークレット[1],7000
2236,サンタのぼうし,7000
2239,片目眼鏡,7000
2241,白ひげ,7000
2242,高級サングラス,7000
2243,スピングラス,7000
2244,大きなリボン,7000
2245,スイートジェントル,7000
2246,ゴールデンヘッドギア,7000
2247,オールドスターロマンス,7000
2248,ウェスタングレイス,7000
2250,リボンのヘアバンド,7000
2251,聖職者の帽子,7000
2252,ウィザードハット,7000
2253,装飾用ひまわり,7000
2257,真っ白いツノ,7000
2259,プロペラ,7000
2260,ミニグラス,7000
2261,プロンテラ軍帽,7000
2262,ピエロの鼻,7000
2263,義賊の眼帯,7000
2265,デモ用のマスク,7000
2266,アイアンケイン,7000
2267,タバコ,7000
2268,パイプタバコ,7000
2269,花びら,7000
2270,草の葉,7000
2271,頭眼鏡,7000
2275,バンダナ,7000
2276,睨む目,7000
2277,看護帽,7000
2279,導火線,7000
2282,魂のリング,7000
2285,名射手のりんご,7000
2287,海賊の頭巾,7000
2289,あれ,7000
2290,葬式用の帽子,7000
2291,蝶の仮面,7000
2294,スターダスト,7000
2295,目隠し,7000
2298,緑の觸角,7000
2299,オーク族のヘルム,7000
5003,ピエロの帽子,7000
5006,ハートファンデーション,7000
5008,仮初めの恋,7000
5009,工事帽,7000
5010,インディアンのヘアバンド,7000
5011,アンテナ,7000
5014,えらヘルム,7000
5015,装飾用卵殻,7000
5030,パンダ帽,7000
5035,ポリン帽,7000
5037,木の実,7000
5055,初心者用偽卵殻,7000
2278,スマイルマスク,7000
2288,スクラッチマスク,7000
2297,ゴブリン族の仮面,7000
5005,ガスマスク,7000
5088,ゴブリン三男の仮面,7000
5089,ゴブリン五男の仮面,7000
5090,工事帽,7000
2224,ゴーグル,7000
2225,ゴーグル[1],7000
10001,動物の頭蓋兜,7000
10002,モンスター酸素マスク,7000
10003,透明な頭の防具,7000
10004,おしゃぶり,7000
10005,ファッションカツラ,7000
10006,女王の髪飾り,7000
10007,シルクリボン,7000
10008,精神棒,7000
10009,野生花,7000
10010,へこんだ鉄の鍋,7000
10011,星のヘアーピン,7000
10012,小さな卵殻,7000
10013,かばん,7000
10014,ロッカー眼鏡,7000
10015,緑色のレース,7000
10016,金の鈴,7000
10017,木のパンツ,7000
10018,サルのリング,7000
10019,赤いマフラー,7000
10020,道士の剣,7000
701,オラオラ,14000
702,家畜の血,14000
703,ヒナレ,14000
704,アロエ,14000
705,クローバー,14000
706,四葉のクローバー,14000
707,歌う草,14000
708,メント,14000
710,幻想の花,14000
711,若芽,14000
712,花,14000
713,空きビン,14000
714,エンペリウム,14000
715,イエロージェムストーン,14000
716,レッドジェムストーン,14000
717,ブルージェムストーン,14000
718,ガーネット,14000
719,アメジスト,14000
720,アクアマリン,14000
721,エメラルド,14000
722,真珠,14000
723,ルビー,14000
724,呪われたルビー,14000
725,サードオニキス,14000
726,サファイア,14000
727,オパール,14000
728,トパーズ,14000
729,ジルコン,14000
730,ダイヤモンド１カラット,14000
731,ダイヤモンド２カラット,14000
732,ダイヤモンド３カラット,14000
733,損傷したダイヤモンド,14000
734,赤い額縁,14000
735,青い陶磁器,14000
736,白い皿,14000
737,黒い杓子,14000
738,鉛筆立て,14000
739,化粧品,14000
740,ぬいぐるみ,14000
741,ポリン人形,14000
742,チョンチョン人形,14000
743,スポア人形,14000
744,花たば,14000
745,ブーケ,14000
746,ガラス玉,14000
747,水晶鏡,14000
748,しおれないバラ,14000
749,氷バラ,14000
750,バフォメット人形,14000
751,オシリス人形,14000
752,バッタ人形,14000
753,サル人形,14000
754,タヌキ人形,14000
756,オリデオコン原石,14000
757,エルニウム原石,14000
901,ピッグテールリボン,14000
902,木の根,14000
903,爬虫類の舌,14000
904,サソリの尻尾,14000
905,植物の茎,14000
906,鱗の茎,14000
907,古木の露,14000
908,かえるの卵,14000
909,ゼロピー,14000
910,ガレット,14000
911,セルー,14000
912,ジャルゴン,14000
913,こうもりの牙,14000
914,綿毛,14000
