// ステータス異常データベース
// ID,Name,SaveFlag,Releasable,Disable,Copyable
// 状態異常ID,名前（ダミー）,セーブ可否,解除可否フラグ,無効可否フラグ,複写可否フラグ
// 　※注：SaveFlagが-1のものは基本的に変更しないでください、サーバクラッシュする可能性があります

0,SC_PROVOKE,1,7,1,1			// プロボック
1,SC_ENDURE,1,519,0,0			// インデュア
2,SC_TWOHANDQUICKEN,1,135,14,0		// ツーハンドクイッケン
3,SC_CONCENTRATE,1,519,0,0			// 集中力向上
4,SC_HIDING,0,5,0,0			// ハイディング
5,SC_CLOAKING,0,5,0,0			// クローキング
6,SC_ENCPOISON,0,615,0,0			// エンチャントポイズン
7,SC_POISONREACT,0,7,0,0			// ポイズンリアクト
8,SC_QUAGMIRE,0,15,0,1			// クァグマイア
9,SC_ANGELUS,1,615,0,0			// エンジェラス
10,SC_BLESSING,1,615,1,0			// ブレッシング
11,SC_SIGNUMCRUCIS,0,15,0,1		// シグナムクルシス
12,SC_INCREASEAGI,1,743,6,0		// 速度増加
13,SC_DECREASEAGI,0,527,17,1		// 速度減少
14,SC_SLOWPOISON,0,103,0,0		// スローポイズン
15,SC_IMPOSITIO,1,615,0,0			// イムポシティオマヌス
16,SC_SUFFRAGIUM,0,615,0,0		// サフラギウム
17,SC_ASPERSIO,1,615,0,0			// アスペルシオ
18,SC_BENEDICTIO,0,103,0,0		// 聖体降臨
19,SC_KYRIE,1,871,0,0			// キリエエレイソン
20,SC_MAGNIFICAT,1,615,0,0		// マグニフィカート
21,SC_GLORIA,1,615,0,0			// グロリア
22,SC_AETERNA,0,7,0,1			// レックスエーテルナ
23,SC_ADRENALINE,1,135,14,0		// アドレナリンラッシュ
24,SC_WEAPONPERFECTION,1,7,0,0		// ウェポンパーフェクション
25,SC_OVERTHRUST,1,7,0,0			// オーバートラスト
26,SC_MAXIMIZEPOWER,1,519,0,0		// マキシマイズパワー
//
29,SC_TRICKDEAD,0,7,0,0			// 死んだふり
30,SC_LOUD,1,519,6,0			// ラウドボイス
31,SC_ENERGYCOAT,1,519,0,0			// エナジーコート
32,SC_PK_PENALTY,0,0,0,0			// PKのペナルティ
33,SC_REVERSEORCISH,0,15,0,1		// リバースオーキッシュ
34,SC_HALLUCINATION,0,9,0,1		// 幻覚
//
37,SC_SPEEDPOTION0,1,7,0,0		// スピードアップポーション
38,SC_SPEEDPOTION1,1,7,0,0		// ハイスピードアップポーション
39,SC_SPEEDPOTION2,1,519,0,0		// バーサークポーション
40,SC_SPEEDUP0,0,0,0,0			// 移動速度増加(アイテム)
41,SC_SPEEDUP1,0,7,0,0			// スピードポーション
42,SC_WALKSPEED,0,0,0,0			// 移動速度増加(スクリプト)
43,SC_SLOWPOTION,0,7,0,0			// 移動速度低下(アイテム)
//
//
50,SC_STRIPWEAPON,0,13,0,1		// ストリップウェポン
51,SC_STRIPSHIELD,0,13,0,1		// ストリップシールド
52,SC_STRIPARMOR,0,13,0,1			// ストリップアーマー
53,SC_STRIPHELM,0,13,0,1			// ストリップヘルム
54,SC_CP_WEAPON,1,1,0,0			// ケミカルウェポンチャージ
55,SC_CP_SHIELD,1,1,0,0			// ケミカルシールドチャージ
56,SC_CP_ARMOR,1,1,0,0			// ケミカルアーマーチャージ
57,SC_CP_HELM,1,1,0,0			// ケミカルヘルムチャージ
58,SC_AUTOGUARD,0,263,0,0			// オートガード
59,SC_REFLECTSHIELD,0,7,0,0		// リフレクトシールド
60,SC_DEVOTION,-1,7,0,0			// ディボーション
61,SC_PROVIDENCE,0,519,0,0			// プロヴィデンス
62,SC_DEFENDER,0,7,0,0			// ディフェンダー
63,SC_SANTA,1,1,0,0			// サンタ
64,SC_SUMMER,1,1,0,0			// 涼しい夏衣装
65,SC_AUTOSPELL,0,519,0,0			// オートスペル
//
68,SC_SPEARQUICKEN,1,647,14,0		// スピアクイッケン
//
86,SC_EXPLOSIONSPIRITS,0,7,0,0		// 爆裂波動
87,SC_STEELBODY,0,775,0,0			// 金剛
//
89,SC_COMBO,0,1,0,0			// モンクコンボ
90,SC_FLAMELAUNCHER,1,103,0,0		// フレイムランチャー
91,SC_FROSTWEAPON,1,103,0,0		// フロストウェポン
92,SC_LIGHTNINGLOADER,1,103,0,0		// ライトニングローダー
93,SC_SEISMICWEAPON,1,103,0,0		// サイズミックウェポン
//
102,SC_WE_FEMALE,0,1,0,0			// あなたに尽くします
103,SC_AURABLADE,1,519,0,0			// オーラブレード
104,SC_PARRYING,1,7,0,0			// パリイング
105,SC_CONCENTRATION,1,519,6,0		// コンセントレーション
106,SC_TENSIONRELAX,0,7,0,0		// テンションリラックス
107,SC_BERSERK,0,519,0,0			// バーサーク
//
110,SC_ASSUMPTIO,1,615,0,0		// アスムプティオ
//
113,SC_MAGICPOWER,1,519,0,0			// 魔法力増幅
114,SC_EDP,0,517,0,0			// エンチャントデッドリーポイズン
115,SC_TRUESIGHT,1,5,0,0			// トゥルーサイト
116,SC_WINDWALK,1,5,6,0			// ウインドウォーク
117,SC_MELTDOWN,0,4,1,0			// メルトダウン
118,SC_CARTBOOST,0,128,2,0		// カートブースト
119,SC_CHASEWALK,0,7,0,0			// チェイスウォーク
120,SC_REJECTSWORD,0,4,0,0		// リジェクトソード
121,SC_MARIONETTE,-1,7,0,0		// マリオネットコントロール（自分）
122,SC_MARIONETTE2,-1,7,0,0		// マリオネットコントロール（相手）
//
124,SC_HEADCRUSH,0,7,0,1			// ヘッドクラッシュ
125,SC_JOINTBEAT,0,7,0,1			// ジョイントビート
//
128,SC_STONE,0,527,17,0			// 石化
129,SC_FREEZE,0,527,17,0			// 凍結
130,SC_STUN,0,527,17,1			// スタン
131,SC_SLEEP,0,527,17,0			// 睡眠
132,SC_POISON,1,527,17,1			// 毒
133,SC_CURSE,1,527,17,1			// 呪い
134,SC_SILENCE,1,527,17,1			// 沈黙
135,SC_CONFUSION,0,527,17,1		// 混乱
136,SC_BLIND,1,527,17,1			// 暗闇
137,SC_BLEED,1,525,17,1			// 出血
//
140,SC_SAFETYWALL,-1,1,0,0		// セーフティーウォール
141,SC_PNEUMA,-1,1,0,0			// ニューマ
//
143,SC_ANKLE,-1,1,0,0			// アンクルスネア
144,SC_DANCING,-1,1,0,0			// 演奏状態
145,SC_KEEPING,0,1,0,0			// キーピング
146,SC_BARRIER,0,1,0,0			// バリアー
147,SC_TIGERFIST,0,1,0,0			// 伏虎拳
//
149,SC_MAGICROD,0,1,0,0			// マジックロッド
150,SC_SIGHT,0,1,0,0			// サイト
151,SC_RUWACH,0,1,0,0			// ルアフ
152,SC_AUTOCOUNTER,0,1,0,0		// オートカウンター
153,SC_VOLCANO,-1,1,0,0			// ボルケーノ
154,SC_DELUGE,-1,1,0,0			// デリュージ
155,SC_VIOLENTGALE,-1,1,0,0		// バイオレントゲイル
156,SC_BLADESTOP_WAIT,-1,1,0,0		// 白羽取り（構え）
157,SC_BLADESTOP,-1,3,0,0			// 白羽取り中
158,SC_EXTREMITYFIST,0,1,0,0		// 阿修羅鳳凰拳
159,SC_GRAFFITI,-1,1,0,0			// グラフィティ
160,SC_LULLABY,-1,1,0,0			// 子守歌
161,SC_RICHMANKIM,-1,1,0,0		// ニヨルドの宴
162,SC_ETERNALCHAOS,-1,1,0,0		// 永遠の混沌
163,SC_DRUMBATTLE,-1,1,0,0		// 戦太鼓の響き
164,SC_NIBELUNGEN,-1,1,0,0		// ニーベルングの指輪
165,SC_ROKISWEIL,-1,1,0,0			// ロキの叫び
166,SC_INTOABYSS,-1,1,0,0			// 深淵の中に
167,SC_SIEGFRIED,-1,1,0,0			// 不死身にジークフリード
168,SC_DISSONANCE,-1,1,0,0		// 不協和音
169,SC_WHISTLE,-1,1,0,0			// 口笛
170,SC_ASSNCROS,-1,1,6,0			// 夕陽のアサシンクロス
171,SC_POEMBRAGI,-1,1,0,0			// ブラギの詩
172,SC_APPLEIDUN,-1,1,0,0			// イドゥンの林檎
173,SC_UGLYDANCE,-1,1,0,0			// 自分勝手なダンス
174,SC_HUMMING,-1,1,0,0			// ハミング
175,SC_DONTFORGETME,-1,1,0,0		// 私を忘れないで…
176,SC_FORTUNE,-1,1,0,0			// 幸運のキス
177,SC_SERVICE4U,-1,1,0,0			// サービスフォーユー
178,SC_BASILICA,-1,1,0,0			// バジリカ
179,SC_MINDBREAKER,0,9,0,1		// マインドブレーカー
180,SC_SPIDERWEB,-1,1,0,0			// スパイダーウェッブ
181,SC_MEMORIZE,0,3,0,0			// メモライズ
182,SC_DPOISON,1,9,17,1			// 猛毒
//
184,SC_SACRIFICE,0,1,0,0			// サクリファイス
185,SC_INCATK,0,1,0,0			// ATK上昇（神酒用）
186,SC_INCMATK,0,1,0,0			// MATK上昇（神秘の草用）
187,SC_WEDDING,1,1,0,0			// ウェディング
188,SC_NOCHAT,0,0,0,0			// 赤エモ状態
189,SC_SPLASHER,0,1,0,0			// ベナムスプラッシャー
190,SC_SELFDESTRUCTION,-1,1,0,0		// 自爆
191,SC_MAGNUM,0,1,0,0			// マグナムブレイク
192,SC_GOSPEL,-1,1,0,0			// ゴスペル
193,SC_INCALLSTATUS,0,5,0,0		// 全ステータス上昇（ゴスペル用）
194,SC_INCHIT,0,5,0,0			// HIT上昇（ゴスペル用）
195,SC_INCFLEE,0,5,0,0			// FLEE上昇（ゴスペル用）
196,SC_INCMHP2,0,5,0,0			// MHPを%上昇(ゴスペル用）
197,SC_INCMSP2,0,5,0,0			// MSPを%上昇(ゴスペル用）
198,SC_INCATK2,0,5,0,0			// ATKを%上昇(ゴスペル用）
199,SC_INCHIT2,0,5,0,0			// HITを%上昇(ゴスペル用）
200,SC_INCFLEE2,0,5,0,0			// FLEEを%上昇(ゴスペル用）
201,SC_PRESERVE,0,7,0,0			// プリザーブ
202,SC_OVERTHRUSTMAX,1,1,0,0		// オーバートラストマックス
203,SC_CHASEWALK_STR,0,1,0,0		// STR上昇（チェイスウォーク用）
204,SC_WHISTLE_,0,1,0,0			// 口笛（範囲外）
205,SC_ASSNCROS_,0,1,0,0			// 夕陽のアサシンクロス（範囲外）
206,SC_POEMBRAGI_,0,1,0,0			// ブラギの詩（範囲外）
207,SC_APPLEIDUN_,0,1,0,0			// イドゥンの林檎（範囲外）
//
209,SC_HUMMING_,0,1,0,0			// ハミング（範囲外）
210,SC_DONTFORGETME_,0,1,0,0		// 私を忘れないで…（範囲外）
211,SC_FORTUNE_,0,1,0,0			// 幸運のキス（範囲外）
